review_id,order_id,customer_id,product_id,review_date,rating,review_title,verified_purchase
1,57440,88976,15917,2022-11-28,4,Good,Yes
2,261837,27850,12400,2024-08-27,4,Average,No
3,426872,40719,11971,2025-01-23,5,Poor,Yes
4,418267,32344,221,2026-07-06,5,Disappointed,Yes
5,252782,17512,13467,2022-10-07,3,Poor,Yes
6,274390,96293,6800,2022-10-25,5,Excellent,No
7,104820,45469,14105,2022-11-17,4,,No
8,458253,43070,6312,2026-01-19,2,Good,Yes
9,287114,73472,142,2023-05-11,2,Disappointed,Yes
10,439853,91697,107,2024-12-02,5,Good,Yes
11,78764,36931,14836,2025-06-09,5,Average,Yes
12,347740,85194,14787,2025-07-07,5,Value for Money,Yes
13,29679,23046,5779,2026-06-22,5,Great,Yes
14,162897,613,8647,2023-03-21,5,Average,Yes
15,414411,66021,16890,2023-10-17,2,Excellent,Yes
16,342414,88020,14726,2023-06-30,1,Average,Yes
17,295991,39404,19280,2026-05-04,5,Value for Money,Yes
18,307618,16224,13124,2024-01-28,4,Average,Yes
19,411813,73403,1870,2024-03-30,5,Poor,Yes
20,133811,87946,4582,2025-05-13,5,Value for Money,Yes
21,156286,58397,1140,2024-03-27,2,Poor,Yes
22,182538,68075,16918,2023-05-24,5,Poor,Yes
23,122321,55043,3780,2023-10-21,5,Good,Yes
24,407334,37858,11807,2022-06-23,3,Value for Money,Yes
25,271453,61400,16679,2025-07-03,1,Disappointed,Yes
26,194034,49266,9660,2026-08-08,4,Excellent,No
27,495736,51099,2277,2024-02-23,5,Excellent,Yes
28,396979,71080,1307,2026-03-13,5,Good,Yes
29,359249,43862,14978,2022-02-13,4,Value for Money,Yes
30,316476,32522,12382,2023-03-09,5,Average,Yes
31,434337,22856,18773,2025-10-21,2,Excellent,No
32,186550,21280,15278,2023-12-09,4,,Yes
33,134779,30114,3748,2022-05-09,5,Disappointed,Yes
34,83233,94733,8723,2023-10-12,4,Great,Yes
35,292341,32211,2840,2023-08-17,5,Excellent,No
36,306337,51159,14056,2022-12-13,5,Great,Yes
37,270213,90977,18868,2024-03-19,5,Value for Money,No
38,165910,95682,6566,2024-04-03,5,Average,Yes
39,70356,51969,18239,2025-09-30,2,,Yes
40,237102,26527,507,2025-08-24,2,Excellent,Yes
41,239763,86510,3292,2023-01-04,4,Excellent,Yes
42,68677,26144,7085,2023-09-28,5,Average,Yes
43,289627,2505,2757,2022-09-19,5,Poor,Yes
44,26788,25596,7781,2022-03-06,3,Good,Yes
45,45484,26603,11495,2024-10-20,5,Good,No
46,189664,19092,12434,2025-02-03,4,Poor,No
47,181573,69914,14788,2025-09-09,3,Disappointed,Yes
48,31359,10520,13655,2026-07-22,5,Great,Yes
49,97070,1792,16220,2022-04-24,5,Value for Money,Yes
50,35065,3362,6768,2025-09-05,4,Good,Yes
51,25327,94452,7589,2026-03-18,5,Excellent,Yes
52,138855,61820,1881,2022-05-31,4,Poor,No
53,472653,8692,1292,2024-03-21,5,Good,Yes
54,9113,11513,10374,2023-08-09,5,Disappointed,Yes
55,396744,80868,11741,2026-06-03,4,Poor,Yes
56,419221,55005,10858,2022-01-23,3,Poor,Yes
57,281235,44647,15407,2025-12-30,4,Good,Yes
58,37052,85034,3328,2024-09-22,5,Good,Yes
59,434982,71693,18453,2022-05-17,4,Excellent,Yes
60,384128,71959,19987,2024-04-19,3,Great,Yes
61,131468,19156,3597,2025-12-30,4,Disappointed,Yes
62,110480,25849,17233,2024-05-22,2,Good,Yes
63,457294,8553,4640,2026-03-06,3,Great,Yes
64,27930,93734,9650,2024-12-22,1,Excellent,No
65,197786,1042,9361,2025-01-09,2,Poor,Yes
66,141366,86444,19329,2023-12-13,5,Value for Money,No
67,252654,39336,310,2026-03-30,5,Disappointed,Yes
68,414630,99835,18105,2024-12-14,2,Value for Money,No
69,260802,86950,2574,2023-06-29,4,Great,Yes
70,294417,62463,17047,2023-02-14,5,Excellent,Yes
71,225017,25206,1303,2023-05-16,5,Good,Yes
72,265845,80086,18605,2024-12-24,5,Poor,Yes
73,351294,34307,9470,2023-03-25,5,Value for Money,Yes
74,475724,7288,1570,2023-10-15,5,Great,Yes
75,126567,17820,5185,2024-11-22,3,Good,No
76,362176,73999,18193,2024-12-07,3,Poor,Yes
77,429042,305,3988,2022-06-25,1,Great,No
78,245386,82825,15281,2024-06-29,5,Poor,Yes
79,236826,77289,8589,2023-09-14,1,Average,No
80,19016,88409,17911,2022-07-06,4,Disappointed,Yes
81,108716,18945,10036,2026-05-17,5,Average,Yes
82,80136,26278,5047,2024-08-17,5,Poor,Yes
83,487967,81623,5215,2025-05-31,4,Disappointed,No
84,140835,19156,14866,2023-09-27,5,Poor,Yes
85,495369,53041,19753,2022-02-25,4,Great,Yes
86,210458,78548,4689,2022-08-19,5,Great,Yes
87,336731,53855,6242,2022-06-07,3,Great,Yes
88,272569,19156,5205,2024-09-04,2,Average,Yes
89,76914,18741,8900,2025-07-18,5,Poor,Yes
90,489067,93727,1783,2025-10-02,4,Great,Yes
91,26044,72981,15893,2025-09-20,3,Great,Yes
92,384086,67552,5758,2023-01-14,5,Value for Money,Yes
93,176980,60749,1131,2023-11-10,5,Excellent,No
94,422427,43196,13081,2024-11-15,5,Excellent,Yes
95,486478,24528,6014,2025-12-27,4,Great,Yes
96,189293,72059,2315,2026-03-13,3,Great,Yes
97,11980,60517,16436,2024-10-05,4,Good,Yes
98,275554,47052,19671,2024-04-22,5,Disappointed,Yes
99,262614,19143,10490,2024-01-25,5,Good,No
100,207036,51461,8021,2024-11-26,3,Poor,Yes
101,368180,78971,4186,2024-01-21,3,Excellent,Yes
102,183508,84794,11350,2026-02-22,4,Good,Yes
103,75263,30907,8379,2023-08-04,5,Disappointed,Yes
104,142275,70999,4481,2024-04-11,3,Good,Yes
105,168600,26364,12346,2024-06-20,5,Poor,Yes
106,31930,1208,16448,2025-04-18,4,Poor,Yes
107,272357,20220,2693,2024-02-11,4,Value for Money,Yes
108,401882,88385,2058,2026-07-31,3,Disappointed,No
109,162557,24511,17717,2024-08-01,5,Good,No
110,28939,64824,5833,2022-05-26,2,Average,Yes
111,177322,57885,4011,2023-04-21,5,Good,Yes
112,17060,69198,9603,2022-01-23,5,,Yes
113,176821,3684,19334,2024-03-30,5,Excellent,Yes
114,331319,1438,14797,2024-03-02,4,Average,Yes
115,251314,31602,1564,2025-05-18,4,Good,Yes
116,352187,10520,515,2023-06-20,4,Poor,No
117,230401,11264,4476,2025-03-30,2,Average,Yes
118,107363,42633,6303,2023-01-11,4,Great,Yes
119,395188,60812,12057,2025-11-29,3,Value for Money,Yes
120,137239,82477,12801,2023-12-12,5,Disappointed,Yes
121,12131,54855,18598,2022-12-15,5,Poor,Yes
122,474986,76718,15169,2025-10-15,3,Good,Yes
123,466416,54713,5732,2022-06-15,1,Excellent,Yes
124,411365,99192,4193,2024-06-25,5,Good,No
125,47740,97758,14370,2024-02-01,2,Average,Yes
126,95334,99260,9940,2024-08-09,5,Average,Yes
127,489845,94543,4929,2025-04-07,5,Poor,Yes
128,90055,16959,118,2023-04-01,4,Average,Yes
129,1516,32806,2548,2024-11-02,3,Disappointed,Yes
130,373995,29812,8782,2023-09-05,3,Average,Yes
131,83440,98190,7249,2022-06-14,3,Value for Money,Yes
132,229886,62239,10851,2022-12-21,5,Disappointed,Yes
133,76930,70149,6163,2023-10-19,4,Excellent,Yes
134,470823,97194,17173,2026-06-26,5,Value for Money,Yes
135,156208,73139,15137,2026-01-17,4,Value for Money,Yes
136,430359,94500,7688,2023-04-28,4,Great,Yes
137,383117,26489,1391,2024-11-15,5,Great,Yes
138,158686,79141,11807,2026-06-27,5,Disappointed,Yes
139,219934,54136,15799,2024-07-14,5,Poor,Yes
140,434844,72626,10120,2022-02-12,3,Poor,Yes
141,164800,22908,18401,2024-06-14,2,Disappointed,No
142,270231,77806,3719,2024-04-01,5,Disappointed,Yes
143,264892,79488,6586,2024-02-16,3,Good,Yes
144,39592,62511,4691,2025-11-10,5,Average,Yes
145,69975,38416,3991,2026-03-28,4,Value for Money,Yes
146,488222,13604,17031,2023-02-04,5,Good,Yes
147,211831,18445,14227,2026-01-04,5,Excellent,Yes
148,391023,57045,5064,2023-09-09,5,Poor,Yes
149,352795,18454,5564,2026-01-09,1,Great,No
150,379404,30086,548,2022-07-30,4,Disappointed,Yes
151,92953,60984,555,2024-08-07,2,Average,Yes
152,409842,92373,8693,2022-09-16,5,Great,No
153,456119,52873,11649,2025-03-29,5,Good,Yes
154,92195,56890,13113,2025-12-23,5,Poor,Yes
155,122195,15667,8938,2022-01-31,5,Disappointed,Yes
156,41001,11394,16437,2024-11-27,3,Excellent,Yes
157,222093,79071,11735,2023-05-20,1,Poor,Yes
158,107677,67743,11771,2022-07-25,5,Poor,Yes
159,229420,82388,6219,2022-07-27,4,Excellent,Yes
160,33516,20170,14433,2024-09-30,4,Poor,Yes
161,167643,17630,14604,2023-07-17,5,Excellent,Yes
162,205398,22323,6834,2022-03-31,4,,Yes
163,207344,13813,1152,2024-05-22,5,Disappointed,Yes
164,489415,28158,915,2025-05-28,5,,Yes
165,492853,56952,5690,2024-12-04,2,,Yes
166,476647,60771,15830,2024-02-18,5,Value for Money,Yes
167,134306,82205,8801,2022-12-02,1,Disappointed,Yes
168,121625,41273,5614,2022-07-11,4,Disappointed,Yes
169,145028,80124,13809,2022-01-04,5,Excellent,Yes
170,238288,57821,13622,2023-05-02,3,Poor,No
171,121204,56313,14905,2023-05-09,3,Great,Yes
172,10243,36132,12756,2025-03-10,5,Excellent,Yes
173,82558,84385,11196,2022-09-06,3,Disappointed,Yes
174,138759,36060,10379,2022-07-22,2,Great,Yes
175,366940,89638,7011,2023-11-09,3,Disappointed,Yes
176,414442,4709,19755,2024-06-15,5,Excellent,Yes
177,284902,36964,16615,2024-01-30,4,Poor,Yes
178,316386,84491,7955,2026-05-11,5,Poor,Yes
179,244975,86738,2636,2026-04-03,4,Excellent,Yes
180,42425,32152,10607,2022-08-02,5,Disappointed,No
181,490896,94287,4333,2023-11-12,5,Disappointed,Yes
182,152650,30717,1921,2026-03-01,5,Poor,Yes
183,213052,91735,12946,2026-08-12,5,Average,Yes
184,211800,72626,11170,2022-08-03,4,Excellent,Yes
185,304449,60314,8154,2024-03-18,4,Value for Money,Yes
186,462773,84995,5149,2025-08-01,3,Good,Yes
187,465117,62099,8037,2025-09-03,5,Excellent,Yes
188,148936,26754,4787,2026-06-07,3,Good,Yes
189,13902,67217,202,2024-06-13,5,Value for Money,Yes
190,420712,41606,11277,2023-05-05,3,Excellent,Yes
191,128592,70971,15405,2024-12-27,5,Value for Money,Yes
192,121570,51076,5511,2022-02-28,5,,Yes
193,475784,69565,2325,2026-04-16,4,Poor,Yes
194,347259,78298,1135,2024-01-12,4,Excellent,Yes
195,79849,54156,15814,2022-01-24,4,Great,Yes
196,268994,35716,4669,2026-03-24,5,Excellent,Yes
197,391225,66009,12125,2025-02-08,1,Disappointed,Yes
198,465795,78907,2509,2023-08-02,5,Great,Yes
199,341946,53712,7209,2022-12-22,5,Excellent,Yes
200,281829,62258,5147,2022-06-06,3,Poor,No
201,77363,12049,12213,2022-09-25,5,Good,Yes
202,59482,51685,7591,2023-06-06,4,Great,Yes
